"","Name","gen","temp","Ch1.1","Ch1.2","Ch1_avg","Ch2.1","Ch2.2","Ch2_avg","JU_CX_prop"
"1","g0","0","15",100,100,100,50,50,50,0.5
"2","ag2","2","15",71,40.5,55.75,26.1,16,21.05,0.377578475336323
"3","ag4","4","15",79,102,90.5,19.9,24,21.95,0.242541436464088
"4","ag6","6","15",162,110,136,15.7,10.7,13.2,0.0970588235294118
"5","bg2","2","15",65.9,77.3,71.6,26.2,29.6,27.9,0.389664804469274
"6","bg4","4","15",85,109,97,13,15.7,14.35,0.147938144329897
"7","bg6","6","15",70,78,74,4.6,5.6,5.1,0.0689189189189189
"8","cg2","2","15",97,100,98.5,26.5,27.6,27.05,0.274619289340102
"9","cg4","4","15",47.6,54,50.8,10.2,10.9,10.55,0.207677165354331
"10","cg6","6","15",83,105,94,7.5,8.5,8,0.0851063829787234
"11","dg2","2","15",90,75,82.5,41.2,40.1,40.65,0.492727272727273
"12","dg4","4","15",88,78,83,21.3,16.9,19.1,0.230120481927711
"13","dg6","6","15",49,79,64,6.2,8.3,7.25,0.11328125
"14","eg2","2","15",44.6,77,60.8,18.7,31.1,24.9,0.409539473684211
"15","eg4","4","15",20.5,51,35.75,5.2,11.3,8.25,0.230769230769231
"16","eg6","6","15",23,59.5,41.25,1.6,3.3,2.45,0.0593939393939394
"17","fg2","2","15",55,66,60.5,14.6,16.3,15.45,0.255371900826446
"18","fg4","4","15",91,88,89.5,14.1,16.5,15.3,0.170949720670391
"19","fg6","6","15",83,79,81,6,7.1,6.55,0.0808641975308642
"20","gg2","2","15",67.4,62.8,65.1,12.4,19.7,16.05,0.246543778801843
"21","gg4","4","15",82.2,85,83.6,11,12,11.5,0.13755980861244
"22","gg6","6","15",116,116,116,8.2,8.4,8.3,0.071551724137931
"23","hg2","2","15",91,85,88,27.1,31.4,29.25,0.332386363636364
"24","hg4","4","15",93,83,88,14.2,14,14.1,0.160227272727273
"25","hg6","6","15",223,198,210.5,17.3,17.3,17.3,0.0821852731591449
"26","ig2","2","15",98,NA,NA,31.3,NA,NA,NA
"27","ig4","4","15",53,NA,NA,5.1,NA,NA,NA
"28","ig6","6","15",157,NA,NA,9.9,NA,NA,NA
"29","g0","0","25",100,100,100,50,50,50,0.5
"30","ag2","2","25",941,951,946,207,193,200,0.211416490486258
"31","ag4","4","25",1944,2074,2009,96,93,94.5,0.0470383275261324
"32","ag6","6","25",554,599,576.5,4.1,4.9,4.5,0.00780572419774501
"33","bg2","2","25",1250,1330,1290,445,428,436.5,0.338372093023256
"34","bg4","4","25",88,86,87,9.1,2.7,5.9,0.067816091954023
"35","bg6","6","25",1083,1175,1129,7.3,9.2,8.25,0.00730735163861825
"36","cg2","2","25",285,109,197,76,29.4,52.7,0.26751269035533
"37","cg4","4","25",76,75,75.5,4.7,3.9,4.3,0.056953642384106
"38","cg6","6","25",1709,1847,1778,43.1,38.7,40.9,0.0230033745781777
"39","dg2","2","25",1833,1872,1852.5,458,385,421.5,0.22753036437247
"40","dg4","4","25",5670,NA,NA,118,NA,NA,NA
"41","dg6","6","25",1829,2470,2149.5,2.8,1.3,2.05,0.000953710165154687
"42","eg2","2","25",1980,2440,2210,499,443,471,0.213122171945701
"43","eg4","4","25",380,474,427,27.3,30.3,28.8,0.0674473067915691
"44","eg6","6","25",1060,1265,1162.5,17.5,16.1,16.8,0.0144516129032258
"45","fg2","2","25",256,492,374,65.6,115,90.3,0.24144385026738
"46","fg4","4","25",1468,1496,1482,117,97,107,0.0721997300944669
"47","fg6","6","25",189,189,189,3.9,3.6,3.75,0.0198412698412698
"48","gg2","2","25",1777,1832,1804.5,325,283,304,0.168467719589914
"49","gg4","4","25",1670,1633,1651.5,58.2,48.3,53.25,0.0322434150772025
"50","gg6","6","25",340,371,355.5,1.6,1.3,1.45,0.00407876230661041
"51","hg2","2","25",130,311,220.5,27,53,40,0.18140589569161
"52","hg4","4","25",130,369,249.5,4,11.6,7.8,0.0312625250501002
"53","hg6","6","25",321,971,646,3,1.5,2.25,0.00348297213622291
"54","ig2","2","25",1242,460,851,229,103,166,0.195064629847239
"55","ig4","4","25",2009,1771,1890,125,101,113,0.0597883597883598
"56","ig6","6","25",8200,7300,7750,208,19.8,113.9,0.0146967741935484
