Chromosome	Transposon Position	Transposon	Region	Transcript Name	Gene Name	Biotype	Phenotype	GO Annotation	Number of Strains	Strains
I	3871	Tc4v	gene	Y74C9A.6	NA	other	NA	NA	1	JU2001
I	13102	Tc4v	intron	Y74C9A.2	nlp-40	protein_coding	sick,slow growth,sterile progeny	GO:0005615,GO:0000003	3	NIC268,QG556,QX1793
I	63219	LTRCER1	intron	Y48G1C.5	NA	protein_coding	NA	GO:0004725,GO:0006470	1	NIC275
I	67915	Tc2	intergenic	NA	NA	NA	NA	NA	1	CX11271
I	75573	Tc3	intron	Y48G1C.2	csk-1	protein_coding	NA	GO:0002119,GO:0005886,GO:0005911,GO:0009792,GO:0030536,GO:0043050,GO:0048747,GO:0005515,GO:0004672,GO:0006468,GO:0005942,GO:0035014,GO:0016772,GO:0004713	1	JU1088
I	135356	Tc2	intron	F53G12.4	NA	protein_coding	larval lethal	GO:0040002,GO:0002119,GO:0018996,GO:0018996	1	CB4856
I	177083	Tc3	promoter	F56C11.5	NA	protein_coding	embryonic lethal	GO:0009792,GO:0009792	1	CB4856
I	238215	Tc3	CDS	Y48G1BM.6	NA	protein_coding	NA	NA	1	NIC262
I	296091	Tc1	intron	C53D5.1	NA	protein_coding	NA	NA	1	CB4851
I	297010	Tc3	intron	C53D5.1	NA	protein_coding	NA	NA	2	BRC20067,JU1088
I	333308	Tc3	intron	Y48G1A.3	daf-25	protein_coding	NA	GO:0006970,GO:0010753,GO:0031513,GO:0043054,GO:0046662,GO:0050920,GO:0061067,GO:0097499,GO:0097500,GO:0005515	1	CB4856
I	389257	Tc3	intron	R119.5	NA	protein_coding	embryonic lethal	GO:0004719,GO:0006464,GO:0009792	7	ED3052,JU2464,JU774,JU830,MY10,MY1,NIC272
I	583813	MIRAGE1	promoter	F56A6.5	NA	protein_coding	NA	GO:0005515,GO:0008270	4	EG4349,MY18,NIC277,WN2001
I	583813	MIRAGE1	promoter	F56A6.8	NA	protein_coding	NA	NA	4	EG4349,MY18,NIC277,WN2001
I	668027	Tc1	intron	Y18H1A.14	NA	protein_coding	NA	NA	1	CB4851
I	721976	LTRCER1	intron	Y18H1A.6	pif-1	protein_coding	NA	GO:0000723,GO:0003678,GO:0006281	1	QG2075
I	742093	LTRCER1	intron	Y18H1A.13	col-46	protein_coding	NA	NA	1	NIC275
I	904885	PAL5A_CE	intron	Y95B8A.5	gpa-16	protein_coding	sterile,embryonic lethal,maternal effect lethal emb	GO:0000132,GO:0000578,GO:0003924,GO:0005525,GO:0005834,GO:0005938,GO:0019003,GO:0004871,GO:0007186,GO:0019001,GO:0031683,GO:0006184,GO:0007188,GO:0007165,GO:0007052,GO:0007052,GO:0009792,GO:0009792,GO:0000003	1	JU1530
I	999559	WBT00000074	intron	C54G6.3	NA	protein_coding	NA	NA	1	NIC166
I	1017266	CELE42	promoter	Y34D9A.11	spp-23	protein_coding	NA	NA	2	CB4854,NIC275
I	1086885	LONGPAL1	intron	R06A10.1	NA	protein_coding	NA	GO:0018996	3	JU792,NIC195,NIC265
I	1086885	LONGPAL1	promoter	R06A10.5	NA	protein_coding	NA	GO:0018996	3	JU792,NIC195,NIC265
I	1116144	PALTTAA1_CE	intergenic	NA	NA	NA	NA	NA	1	MY16
I	1138470	PAL5A_CE	intron	Y48G8AL.10	NA	protein_coding	NA	GO:0046872,GO:0003676	1	QX1211
I	1146587	CELE42	intron	Y48G8AL.10	NA	protein_coding	NA	GO:0046872,GO:0003676	1	JU751
I	1171119	CELE42	intron	Y48G8AL.11	haf-6	protein_coding	NA	GO:0005783,GO:0016246,GO:0097038,GO:0005524,GO:0006810,GO:0016021,GO:0042626,GO:0055085,GO:0016887	1	CB4856
I	1220747	LINE2G_CE	intron	Y48G8AL.1	herc-1	protein_coding	maternal sterile	GO:0004842,GO:0019915,GO:0000003	1	DL238
I	1220747	LINE2G_CE	promoter	Y48G8AL.12	NA	protein_coding	NA	NA	1	DL238
I	1249157	PAL5A_CE	intron	Y48G8AL.1	herc-1	protein_coding	maternal sterile	GO:0004842,GO:0019915,GO:0000003	1	QX1211
I	1250039	PAL5A_CE	intron	Y48G8AL.1	herc-1	protein_coding	maternal sterile	GO:0004842,GO:0019915,GO:0000003	1	PB306
I	1257132	Tc1	intron	Y48G8AL.15	NA	protein_coding	embryonic lethal	GO:0004550,GO:0005524,GO:0006165,GO:0006183,GO:0006228,GO:0006241,GO:0009792,GO:0009792,GO:0007052	1	CB4851
I	1305320	Tc3	promoter	K12C11.4	dapk-1	protein_coding	embryonic lethal	GO:0005515,GO:0007165,GO:0004672,GO:0005524,GO:0006468,GO:0016772,GO:0009792,GO:0035188,GO:0010467	3	EG4349,NIC277,WN2001
I	1370106	Tc3	intron	Y92H12BL.5	NA	protein_coding	NA	GO:0016787,GO:0008340	1	GXW1
I	1370528	CELE42	intron	Y92H12BL.5	NA	protein_coding	NA	GO:0016787,GO:0008340	1	QX1211
I	1388452	PAL5A_CE	intron	Y92H12BM.1	NA	protein_coding	NA	GO:0005515	4	CX11264,DL238,ED3046,GXW1
I	1388710	PAL5A_CE	intron	Y92H12BM.1	NA	protein_coding	NA	GO:0005515	2	JU1580,JU782
I	1388813	PAL5A_CE	intron	Y92H12BM.1	NA	protein_coding	NA	GO:0005515	1	JU1491
I	1441898	CELE1	intergenic	NA	NA	NA	NA	NA	2	JU2007,MY18
I	1454102	MARINER2	promoter	F37F2.3	gst-25	protein_coding	sterile,embryonic lethal	GO:0004364,GO:0008152,GO:0005515,GO:0000003,GO:0009792,GO:0000003	1	MY23
I	1454102	MARINER2	intron	F47G6.4	spe-15	protein_coding	sterile,embryonic lethal,maternal sterile	GO:0007283,GO:0007286,GO:0051640,GO:0005515,GO:0003774,GO:0005524,GO:0016459,GO:0000003,GO:0000003,GO:0009792,GO:0000003	1	MY23
I	1465960	Tc1	intron	F47G6.3	NA	protein_coding	NA	GO:0040011	1	CB4851
I	1481032	Tc2	intergenic	NA	NA	NA	NA	NA	2	JU1581,QX1793
I	1491952	PALTTAA1_CE	intron	Y92H12A.5	NA	protein_coding	larval arrest,sick,slow growth,sterile progeny	GO:0005488	1	CB4856
I	1546679	HAT1_CE	intron	Y92H12A.2	NA	protein_coding	NA	GO:0005515,GO:0004842	1	ED3077
I	1549986	Tc4v	intron	Y92H12A.2	NA	protein_coding	NA	GO:0005515,GO:0004842	1	QX1211
I	1584918	Tc2	intron	Y73E7A.3	NA	protein_coding	NA	GO:0006810,GO:0016021	1	JU367
I	1586001	CER16-LTR_CE	intron	Y73E7A.3	NA	protein_coding	NA	GO:0006810,GO:0016021	1	MY16
I	1587077	MARINER2	intron	Y73E7A.3	NA	protein_coding	NA	GO:0006810,GO:0016021	12	CX11262,CX11264,CX11271,CX11276,CX11285,CX11315,DL238,KR314,NIC267,QG556,QX1792,QX1793
I	1591633	LTRCER1	intron	Y73E7A.3	NA	protein_coding	NA	GO:0006810,GO:0016021	1	ECA36
I	1637907	MIRAGE1	intron	Y73E7A.8	NA	protein_coding	slow growth	GO:0040011,GO:0040011,GO:0040035,GO:0040039	1	JU367
I	1672906	Tc1	CDS	Y71G12B.35	NA	protein_coding	NA	NA	1	CB4856
I	1684076	CELE42	intron	Y71G12B.16	drag-1	protein_coding	NA	GO:0005886,GO:0007501,GO:0030510,GO:0040014,GO:0043235,GO:0061065	1	QX1211
I	1711624	PALTTAA1_CE	intron	Y71G12B.12	atg-5	protein_coding	NA	GO:0006914,GO:0005737,GO:0070265	1	MY16
I	1731679	Tc1	intron	Y71G12B.11	tln-1	protein_coding	sterile,maternal sterile,sick,larval lethal,embryonic lethal,sterile progeny,slow growth,larval arrest	GO:0031430,GO:0040011,GO:0055120,GO:0005158,GO:0003779,GO:0005198,GO:0007155,GO:0015629,GO:0001726,GO:0005200,GO:0005925,GO:0007016,GO:0009792,GO:0040011,GO:0040011,GO:0040011,GO:0040011,GO:0040035,GO:0010171,GO:0040035,GO:0000003,GO:0010171,GO:0040011,GO:0000003,GO:0002119,GO:0002119,GO:0010171,GO:0040011,GO:0009792,GO:0002119,GO:0010171,GO:0009792,GO:0002119,GO:0002119,GO:0010171,GO:0000003,GO:0002119,GO:0002119,GO:0010171,GO:0040039,GO:0030728,GO:0008406,GO:0007281,GO:0040039,GO:0040039,GO:0040011,GO:0006898,GO:0009792,GO:0030163,GO:0040039,GO:0040011,GO:0040039,GO:0000003	1	ECA252
I	1911486	TIR21T5A_CE	intron	Y71G12A.2	trpp-10	protein_coding	NA	NA	63	CB4853,CB4855,CB4856,CB4857,CB4858,CX11254,CX11262,CX11264,CX11271,CX11285,CX11292,CX11307,CX11314,CX11315,DL200,DL226,ED3005,ED3040,ED3046,ED3048,ED3049,ED3052,ED3077,EG4349,JU1088,JU1172,JU1491,JU1530,JU1581,JU2007,JU2464,JU2466,JU2513,JU2522,JU310,JU323,JU367,JU774,JU778,JU830,KR314,LKC34,MY10,MY1,MY23,NIC199,NIC231,NIC236,NIC267,NIC269,NIC272,NIC274,NIC3,PB306,PS2025,QG536,QW947,QX1211,QX1212,QX1233,QX1792,QX1794,WN2001
I	1933336	Tc3	intron	Y51F10.4	NA	protein_coding	slow growth,sterile progeny,embryonic lethal	NA	1	JU1581
I	1943071	CELETC2	intron	Y51F10.4	NA	protein_coding	slow growth,sterile progeny,embryonic lethal	NA	3	JU1088,MY18,QX1211
I	1953106	Tc2	intron	Y51F10.10	NA	protein_coding	NA	GO:0005515	1	JT11398
I	2012322	CELE42	promoter	Y20F4.3	gap-3	protein_coding	NA	GO:0043409,GO:0005515,GO:0005622,GO:0007165	1	JU2001
I	2023233	Chapaev-2_CE	intergenic	NA	NA	NA	NA	NA	1	QG536
I	2081573	LINE2C1_CE	intron	Y37E3.11	NA	protein_coding	NA	GO:0003824,GO:0009058	35	CB4853,CB4855,CB4857,CB4858,CX11271,CX11292,CX11307,DL226,ED3005,ED3040,ED3046,ED3048,ED3049,ED3052,ED3077,JU1088,JU2464,JU2513,JU323,JU367,LKC34,MY10,MY1,MY23,NIC231,NIC236,NIC3,PB306,PS2025,PX179,QG536,QG557,QW947,QX1212,QX1794
I	2126216	PALTTAA1_CE	intergenic	NA	NA	NA	NA	NA	1	PX179
I	2141546	PALTTAA1_CE	intron	Y37E3.17	NA	protein_coding	NA	GO:0016491,GO:0055114,GO:0004047,GO:0005737,GO:0006546,GO:0005515	1	NIC3
I	2250841	Tc1	intron	F12B6.2	slc-17.6	protein_coding	NA	GO:0016021,GO:0055085	1	CB4851
