Chromosome	Clone	Start	End
I	WRM0633bC12	24965	56050
I	WRM0623aC03	55904	90852
I	WRM0638dH05	114090	142923
I	WRM064bF03	114684	147081
I	WRM0613bH11	126316	159666
I	WRM065cD06	129277	163521
I	WRM0620cD04	135857	174266
I	WRM0613bF11	138466	174544
I	WRM0616cA11	144303	176639
I	WRM0638dF04	147732	184626
I	WRM0631dA03	190460	223929
I	WRM064bG08	214262	248381
I	WRM0632bC07	216378	250254
I	WRM0611dG03	223500	259168
I	WRM0639cH12	235752	267579
I	WRM063aF09	252753	277417
I	WRM0638cH01	258842	296231
I	WRM0625aC03	267763	301755
I	WRM066dD07	272529	303617
I	WRM0640aG12	282831	315245
I	WRM061bD05	299614	323937
I	WRM0610cA08	520774	551041
I	WRM0630cF11	541145	574559
I	WRM0611dH06	556042	586534
I	WRM0638dD02	572550	608323
I	WRM0627dG11	575392	611133
I	WRM0622dD06	670579	696953
I	WRM0633bD08	727731	762725
I	WRM0631bA01	731643	764291
I	WRM0618bA04	731690	770964
I	WRM0624dD08	739631	771993
I	WRM0629bD01	753024	787737
I	WRM0617dC04	759560	786935
I	WRM0640cC03	764345	800365
I	WRM0617cB11	771584	810737
I	WRM066cB06	772250	803854
I	WRM065bF01	778310	815037
I	WRM0622bA09	791128	830030
I	WRM069aA11	797419	830343
I	WRM0622aA08	802700	835582
I	WRM0627dC08	811887	847108
I	WRM0641aA12	812062	840846
I	WRM069aA07	814915	845085
I	WRM0633cD07	934596	970882
I	WRM065aB03	940909	975508
I	WRM0632dC05	941466	975605
I	WRM0629dE03	948561	980970
I	WRM0610cE09	948940	980321
I	WRM0621aH10	950179	988053
I	WRM0627aB11	966779	999492
I	WRM064aC05	973863	1010252
I	WRM0623aH05	1066141	1100084
I	WRM068bF08	1085252	1116948
I	WRM0614dH06	1106310	1135894
I	WRM0628aE10	1107558	1134125
I	WRM0622bG07	1268819	1301766
I	WRM0629cB11	1284684	1322944
I	WRM0629aG03	1300986	1336536
I	WRM0615dB08	1445139	1480727
I	WRM0616dG01	1636200	1662506
I	WRM0635cF03	1803775	1836740
I	WRM0630cA10	1833195	1865906
I	WRM0631cF02	1833983	1867390
I	WRM0640bG07	2018318	2051154
I	WRM0612dE04	2222253	2257298
I	WRM0634cH06	2222355	2257426
I	WRM0619dF06	2234992	2271894
I	WRM0637aH01	2236204	2273706
I	WRM0640cH02	2240685	2273035
I	WRM0628aB11	2245374	2279509
I	WRM0614dC06	2297624	2333172
I	WRM0633bE09	2324880	2358462
I	WRM0612aB10	2410511	2445281
I	WRM0611bD05	2413029	2442791
I	WRM0612cE09	2423521	2458390
I	WRM0632bE10	2433785	2465685
I	WRM062cC07	2434074	2460501
I	WRM0614aE08	2543082	2571811
I	WRM0640dG06	2543141	2574946
I	WRM068aB06	2558511	2588381
I	WRM0635cF05	2569376	2601947
I	WRM0621cC01	2601768	2638621
I	WRM069bD01	2615768	2657280
I	WRM0634cG04	2645962	2673701
I	WRM0636bD10	2655613	2688097
I	WRM0621dG11	2658532	2692860
I	WRM065aA08	2666223	2698949
I	WRM0616bH07	2693989	2724521
I	WRM062bF03	2776181	2810622
I	WRM0617bF07	2788401	2820631
I	WRM0622cG09	2793685	2825517
I	WRM0635aF10	2802243	2836479
I	WRM0618cD12	2809022	2840859
I	WRM062dG04	2813818	2846292
I	WRM0621dG02	2952955	2985165
I	WRM0641bA05	3106024	3138939
I	WRM0633dG10	3108909	3141101
I	WRM0611dF08	3109387	3141563
I	WRM0619cD08	3116620	3149055
I	WRM0634dE04	3119084	3152324
I	WRM0628bH02	3125190	3158857
I	WRM063cH02	3259990	3292919
I	WRM0641bD11	3299599	3332303
I	WRM0636bE04	3352954	3377454
I	WRM0612dD04	3354502	3388496
I	WRM069aF12	3355307	3391111
I	WRM0626cB01	3363538	3398159
I	WRM0619dA01	3363546	3394170
I	WRM0626aG01	3365054	3399647
I	WRM063bB11	3373722	3405132
I	WRM0619aG06	3386993	3424612
I	WRM0619cD07	3416801	3444115
I	WRM0620dE07	3473563	3509757
I	WRM064dB08	3474885	3508220
I	WRM0619cA07	3627826	3665318
I	WRM0634aD01	3631639	3665683
I	WRM0637dF04	3646632	3679499
I	WRM0627cB09	3648241	3680986
I	WRM0615dC08	3662413	3694051
I	WRM0639bA10	3663493	3693226
I	WRM0612aC03	3664558	3700537
I	WRM0637bB06	3678211	3712391
I	WRM0626aH11	3681360	3713088
I	WRM061cE03	3683126	3715075
I	WRM0631cH02	3692839	3730242
I	WRM0619aB07	3694391	3721658
I	WRM061bC09	3709625	3742477
I	WRM0617aA10	3713482	3745943
I	WRM0620cE07	3717616	3755218
I	WRM0614aC08	3718209	3754051
I	WRM064dF04	3727038	3758250
I	WRM0616cB09	3732478	3763249
I	WRM0621dC07	3742993	3778320
I	WRM0622aB12	3755660	3788915
I	WRM0639cE02	3763470	3790737
I	WRM0639aB01	3767511	3798153
I	WRM068bF07	3774904	3805136
I	WRM0623aD03	3787845	3825477
I	WRM064bD07	3789517	3824491
I	WRM0636aD05	3794385	3832203
I	WRM0617cA07	3802579	3836794
I	WRM0624cF12	3806675	3847479
I	WRM0611bD02	3815401	3850548
I	WRM0624aH09	3821416	3857220
I	WRM0622cH02	3822217	3860174
I	WRM0612bA04	3834428	3866591
I	WRM0630cC11	3839488	3873946
I	WRM0623bD01	3841740	3875919
I	WRM0639dD12	3855856	3890376
I	WRM063cB07	3860661	3892143
I	WRM0615cG11	3863430	3896775
I	WRM068cB02	3872200	3901268
I	WRM0636bH09	3874928	3912177
I	WRM0638aA02	3885683	3924836
I	WRM0636dD09	3886049	3921936
I	WRM064aF01	3890095	3923077
I	WRM0631dG07	3891005	3921019
I	WRM0625bE04	3891886	3927186
I	WRM0641cD10	3891929	3928253
I	WRM0633cH07	3904567	3944147
I	WRM0617dB06	3910202	3938423
I	WRM0627dF12	3915054	3947234
I	WRM0617cA02	3923027	3960727
I	WRM0640dG03	3923595	3957528
I	WRM0640dE09	3924741	3956226
I	WRM068cG07	3928032	3964050
I	WRM0641bF06	3946246	3984050
I	WRM0610cH11	3955160	3988940
I	WRM065bD03	3977068	3998508
I	WRM0616bD02	3977529	3998933
I	WRM0616cD04	3977531	3998933
I	WRM067cB07	3990050	4023979
I	WRM0610bH02	3990086	4026777
I	WRM0641cB10	3999393	4029693
I	WRM0614aA02	4004216	4039730
I	WRM0614aC11	4012587	4047092
I	WRM0626cD06	4018763	4054890
I	WRM0625aC08	4018825	4057018
I	WRM068cB10	4020229	4052654
I	WRM0630cE08	4028969	4062212
I	WRM066aF07	4032378	4067242
I	WRM0629aH10	4037082	4069732
I	WRM0620cG10	4037634	4076086
I	WRM0622dE08	4044856	4078764
I	WRM0640cF03	4047981	4085328
I	WRM0641aC08	4056078	4095366
I	WRM0613aF01	4058542	4087484
I	WRM0637dC08	4059471	4098732
I	WRM0637aB08	4060962	4097959
I	WRM0612dG09	4063198	4098191
I	WRM066dA11	4063393	4097766
I	WRM0611aE07	4065604	4100869
I	WRM0615aA12	4065696	4102582
I	WRM0635aH03	4067492	4100272
I	WRM0640dH05	4069586	4107210
I	WRM0635aF08	4071763	4103628
I	WRM0611cF08	4072816	4106864
I	WRM063dH01	4075218	4109929
I	WRM0620bG04	4078289	4111546
I	WRM0622aB10	4078309	4110215
I	WRM0614bH05	4094673	4129162
I	WRM0636dH09	4109471	4145769
I	WRM069bH01	4112689	4152407
I	WRM0632bH05	4132398	4166293
I	WRM0619cH12	4150488	4182606
I	WRM0636dC03	4169081	4202015
I	WRM0626aD08	4169831	4201956
I	WRM063aE11	4171341	4209370
I	WRM0629aC05	4180175	4214886
I	WRM0632aE07	4188413	4224988
I	WRM061bF04	4200379	4232051
I	WRM069aG11	4203013	4234812
I	WRM066aD06	4221374	4258497
I	WRM0634bF08	4228155	4260734
I	WRM0631dH05	4229070	4263603
I	WRM0620aB02	4240471	4274479
I	WRM0611bC04	4243610	4279594
I	WRM0628aB01	4252907	4278519
I	WRM0623bE09	4265484	4299287
I	WRM0632aC04	4309461	4341040
I	WRM0627aG08	4311367	4353687
I	WRM0623cG06	4311668	4353776
I	WRM0637aF11	4314719	4355767
I	WRM0615cD08	4318793	4355217
I	WRM0637aC02	4319871	4354174
I	WRM067cH07	4320218	4353878
I	WRM064bG10	4321503	4353548
I	WRM0611aG07	4324095	4354297
I	WRM0623cH10	4325559	4353795
I	WRM0622cC01	4326756	4354553
I	WRM0633aD06	4327029	4354160
I	WRM063bD09	4328248	4354977
I	WRM0640aA08	4329317	4354340
I	WRM0615dD03	4329809	4355409
I	WRM0615aA08	4330176	4354013
I	WRM0635cE01	4332948	4354237
I	WRM0633dG11	4334677	4353791
I	WRM0615bH07	4339162	4355559
I	WRM0618bE02	4339385	4357527
I	WRM0625cD03	4340697	4357457
I	WRM0624aB01	4353612	4384423
I	WRM061dH07	4354228	4380163
I	WRM0635bE04	4355508	4372359
I	WRM0638cB04	4358153	4390298
I	WRM0635bG04	4358177	4393966
I	WRM0613aE04	4361044	4398232
I	WRM0639aB10	4378530	4408703
I	WRM0638cH07	4386043	4420204
I	WRM0640aH06	4387561	4421095
I	WRM0641aF10	4388993	4421354
I	WRM0636cG01	4390900	4422302
I	WRM0633cH01	4391943	4431582
I	WRM0616cG11	4392252	4420512
I	WRM066bH02	4397337	4433598
I	WRM0615dA12	4458571	4491770
I	WRM0627aF03	4469368	4500269
I	WRM0627cE11	4514482	4543608
I	WRM0625dB06	4514592	4544195
I	WRM0634aA07	4515574	4543848
I	WRM062dD03	4524130	4543476
I	WRM0618bA09	4525345	4543386
I	WRM066cA11	4525992	4543104
I	WRM0638dF02	4529099	4545012
I	WRM0622cG03	4547845	4581016
I	WRM063aD01	4548875	4584780
I	WRM067cA07	4556991	4589350
I	WRM0637dC04	4608261	4637456
I	WRM063cE10	4639010	4672256
I	WRM0641bE06	4644975	4677791
I	WRM0635aD01	4668121	4700229
I	WRM065dB07	4682147	4715998
I	WRM0619dG05	4718947	4753696
I	WRM065aC08	4726239	4760829
I	WRM0625aE04	4737558	4777184
I	WRM0626dG02	4740388	4775805
I	WRM0638dG09	4746829	4781111
I	WRM0638aD01	4756419	4791935
I	WRM063cE05	4757722	4788859
I	WRM0612cG11	4757863	4788562
I	WRM0620aA05	4779081	4813792
I	WRM0630bG03	4797380	4835718
I	WRM0627dA05	4804208	4837311
I	WRM0627dD09	4806545	4840849
I	WRM0623aC05	4819202	4849786
I	WRM0619bF08	4841061	4876138
I	WRM0637dE11	4847146	4884648
I	WRM0629aC09	4851355	4884424
I	WRM062aC06	4868314	4899344
I	WRM0632cF10	4868542	4909116
I	WRM0628bC12	4870213	4901134
I	WRM0611aE09	4871494	4907281
I	WRM0615cC05	4879391	4911530
I	WRM0619aH12	4881982	4910994
I	WRM0634aE07	4887454	4922401
I	WRM0628bA01	4899247	4931724
I	WRM0621aH11	4899620	4935555
I	WRM0629aG01	4904824	4937677
I	WRM0610cD12	4905224	4940722
I	WRM0637aB01	4934616	4968350
I	WRM0619aG11	4940752	4975667
I	WRM0620bH02	4943695	4980505
I	WRM0632dD10	4945929	4983098
I	WRM0622bC10	4956020	4983877
I	WRM0615cB06	4961268	4992949
I	WRM068aE08	4962456	4996159
I	WRM0612bG01	4967220	5002191
I	WRM0641dF05	4967437	5009957
I	WRM0623cC12	4974519	5010235
I	WRM064cD01	4980214	5011213
I	WRM069cF09	4983587	5020383
I	WRM063bD04	4991556	5023080
I	WRM0637cA04	4999047	5030515
I	WRM069dB05	5004599	5040708
I	WRM061dC02	5005288	5027387
I	WRM0621aG09	5010189	5045820
I	WRM0623bH10	5025630	5060918
I	WRM0626cE12	5032159	5070832
I	WRM0633cE05	5033254	5070912
I	WRM0622aB05	5039106	5069630
I	WRM0631bB02	5041380	5074152
I	WRM0624cE04	5046845	5079096
I	WRM0626dA07	5069925	5103363
I	WRM0612aC06	5071840	5104448
I	WRM066cE06	5078722	5111411
I	WRM0612bD05	5081688	5116130
I	WRM0629dC12	5092454	5130809
I	WRM0636dE07	5098493	5130173
I	WRM0628dB11	5098793	5128923
I	WRM0630cD08	5102269	5135327
I	WRM0617dG02	5106764	5140750
I	WRM0625aH10	5111788	5147745
I	WRM0629aE06	5152780	5185173
I	WRM063dE09	5176313	5211613
I	WRM0639cE06	5186079	5225978
I	WRM0633aC02	5191551	5224433
I	WRM0611aE11	5194945	5222386
I	WRM0623cE02	5196628	5234210
I	WRM069bB08	5199363	5232533
I	WRM0613dG10	5210176	5243797
I	WRM0625bH05	5211965	5245395
I	WRM0626cF02	5235330	5271035
I	WRM0618cH06	5272421	5306672
I	WRM0626bC08	5272446	5305679
I	WRM066dA05	5272954	5307113
I	WRM0640aA05	5276305	5315463
I	WRM0629aH09	5276704	5310743
I	WRM0639dD01	5278010	5309052
I	WRM0612aA10	5278101	5311151
I	WRM0613aA07	5280665	5320712
I	WRM0629dA01	5281057	5313948
I	WRM0626aA08	5286039	5316826
I	WRM0618aE01	5307198	5343400
I	WRM0629bE11	5310058	5346287
I	WRM0612aA08	5319458	5353896
I	WRM0626cE06	5322000	5354924
I	WRM0628bH06	5331468	5360717
I	WRM0612bA06	5354216	5387367
I	WRM069aE11	5359477	5391753
I	WRM0631cB04	5365121	5389867
I	WRM0641dG08	5395352	5433034
I	WRM0639cG06	5402667	5436845
I	WRM062cH03	5438449	5471322
I	WRM0633aG08	5451572	5493550
I	WRM0623cB08	5456979	5488140
I	WRM066cC07	5457271	5488303
I	WRM0633dH04	5476883	5511526
I	WRM0613bH03	5482928	5514658
I	WRM0640dA07	5501261	5534387
I	WRM0633aC10	5505537	5542545
I	WRM0630aG02	5508316	5536941
I	WRM0623bA11	5513823	5553597
I	WRM0638dG12	5514376	5552430
I	WRM0641dA05	5518729	5552106
I	WRM0632cD11	5521156	5552131
I	WRM0637dG06	5527162	5562228
I	WRM0611aG11	5534622	5567173
I	WRM0638dC03	5540623	5579420
I	WRM0628dD01	5541424	5575136
I	WRM0620dF03	5548032	5579193
I	WRM0628bB03	5548914	5584719
I	WRM0626cH06	5567224	5601659
I	WRM0619bA11	5567863	5603037
I	WRM061cE06	5595836	5632484
I	WRM064aH05	5598236	5626741
I	WRM0628bG03	5601209	5634661
I	WRM061aE02	5602586	5636087
I	WRM0621dF03	5607848	5635654
I	WRM0612aD07	5609243	5641624
I	WRM066dF05	5615648	5640837
I	WRM0639cF04	5619696	5656754
